run_id,voxel_size_scan,voxel_size_map_factor,ndt_cell_size,ndt_iterations,r_scan,r_map,zlim_min,zlim_max,voxel_size_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
11,0.35,0.5,4,10,1.5,3.0,0.0,7.0,0.175,"[550, 650]","[0.0, 7.0]",,,1.395743913587902,0.6227103120281561,0.006737710838495111,0.003596077435244434,1.82042396068573
12,0.35,1,4,10,1.5,3.0,0.0,7.0,0.35,"[550, 650]","[0.0, 7.0]",,,1.2522485461987176,0.5984948313998808,0.0020708874151714775,0.0012894548331481293,1.8168004580906458
13,0.35,2.0,4,10,1.5,3.0,0.0,7.0,0.7,"[550, 650]","[0.0, 7.0]",,,0.9592171999101448,0.44306839148060395,-0.0005498754759854264,-0.008453839213170156,1.577336061000824
14,0.35,3.0,4,10,1.5,3.0,0.0,7.0,1.0499999999999998,"[550, 650]","[0.0, 7.0]",,,1.226798786002764,0.5506701197027772,0.0,-0.012599147890457288,1.8866827271201394
15,0.35,4.0,4,10,1.5,3.0,0.0,7.0,1.4,"[550, 650]","[0.0, 7.0]",,,2.457975263863204,0.9085600962044157,0.013404689867710703,0.003013272436189307,1.3132559061050415
16,0.5,0.5,4,10,1.5,3.0,0.0,7.0,0.25,"[550, 650]","[0.0, 7.0]",,,1.3606198488023693,0.6872424193938049,0.03359400232961318,0.008850590263829651,1.6469752508051254
17,0.5,1,4,10,1.5,3.0,0.0,7.0,0.5,"[550, 650]","[0.0, 7.0]",,,1.2675526824463927,0.5712667499659163,-0.006039930653749453,-0.0195659089056312,1.3893686909424632
18,0.5,2.0,4,10,1.5,3.0,0.0,7.0,1.0,"[550, 650]","[0.0, 7.0]",,,1.3075296853566236,0.49012156291427705,0.002023845620248387,0.0008878825149180215,1.3840511278672651
19,0.5,3.0,4,10,1.5,3.0,0.0,7.0,1.5,"[550, 650]","[0.0, 7.0]",,,1.279034393277454,0.6144706243657322,-0.0023043203034144345,-0.006219078784855425,1.2232933044433594
20,0.5,4.0,4,10,1.5,3.0,0.0,7.0,2.0,"[550, 650]","[0.0, 7.0]",,,1.0379518993417853,0.5012814966787618,0.02707635825413247,0.005047737045709352,0.8325304865837098
21,0.75,0.5,4,10,1.5,3.0,0.0,7.0,0.375,"[550, 650]","[0.0, 7.0]",,,1.3359049258390676,0.7285373389959173,0.0008087408250522857,-0.0007275507075306352,1.287138819694519
22,0.75,1,4,10,1.5,3.0,0.0,7.0,0.75,"[550, 650]","[0.0, 7.0]",,,1.2798845676168513,0.6794972765941634,0.0049253254627065965,-0.009842598556210865,1.0649698632104057
23,0.75,2.0,4,10,1.5,3.0,0.0,7.0,1.5,"[550, 650]","[0.0, 7.0]",,,1.3621173037502792,0.7265895101149977,0.008596650969126544,0.003242583727670099,1.0057646036148071
24,0.75,3.0,4,10,1.5,3.0,0.0,7.0,2.25,"[550, 650]","[0.0, 7.0]",,,1.3318533909418033,0.48320826074169626,-0.001973438519489293,-0.0038191515569987963,1.041227405721491
25,0.75,4.0,4,10,1.5,3.0,0.0,7.0,3.0,"[550, 650]","[0.0, 7.0]",,,1.3677172968490279,0.665199601798318,0.001728900000000002,0.0007955142857142872,0.33528363704681396
26,1,0.5,4,10,1.5,3.0,0.0,7.0,0.5,"[550, 650]","[0.0, 7.0]",,,1.330287884844565,0.5935293823494102,0.0038251488884146582,-0.033781964904245884,0.8445068417173444
27,1,1,4,10,1.5,3.0,0.0,7.0,1,"[550, 650]","[0.0, 7.0]",,,1.21256140465593,0.31212137247912874,0.001304645729048981,0.0003979469883045441,0.8693029880523682
28,1,2.0,4,10,1.5,3.0,0.0,7.0,2.0,"[550, 650]","[0.0, 7.0]",,,1.3041884674050266,0.8241977138588719,0.012918879163746462,0.008232912798717112,0.5415901797158378
29,1,3.0,4,10,1.5,3.0,0.0,7.0,3.0,"[550, 650]","[0.0, 7.0]",,,1.3677172968490279,0.665199601798318,0.001728900000000002,0.0007955142857142872,0.26865116755167645
