run_id,voxel_size_scan,voxel_size_map_factor,ndt_cell_size,ndt_iterations,r_scan,r_map_factor,zlim_min,zlim_max,voxel_size_map,r_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
48,0.35,2.2,4,10,1.3,2.2,0.0,7.0,0.77,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.2375887229140983,0.4096465237534239,0.013456303696195104,-0.005009676037362539,1.7027392219094668
49,0.35,2.2,4,10,1.5,1.8,0.0,7.0,0.77,2.7,"[550, 650]","[0.0, 7.0]",,,1.5051483085144908,0.39153818234749227,-0.0006949525511869142,-0.006059825641428356,1.6098850880350386
50,0.35,2.2,4,10,1.5,2.0,0.0,7.0,0.77,3.0,"[550, 650]","[0.0, 7.0]",,,1.2668898964348585,0.4422430833593998,-0.0016567530572594476,-0.010198342779234086,1.6364692790167672
51,0.35,2.2,4,10,1.5,2.2,0.0,7.0,0.77,3.3000000000000003,"[550, 650]","[0.0, 7.0]",,,1.5473096936013597,0.379966961773084,0.03343063051548837,-0.0016552455663845528,1.6338423563509572
52,0.35,2.2,4,10,1.7,1.8,0.0,7.0,0.77,3.06,"[550, 650]","[0.0, 7.0]",,,1.30293846052279,0.3629057541968119,-0.001438689162871827,-0.00481230251571071,1.5907777803284782
53,0.35,2.2,4,10,1.7,2.0,0.0,7.0,0.77,3.4,"[550, 650]","[0.0, 7.0]",,,1.2045987343954145,0.3667633275000357,0.02584106544235889,-0.00145409899886261,1.6463274104254586
54,0.35,2.2,4,10,1.7,2.2,0.0,7.0,0.77,3.74,"[550, 650]","[0.0, 7.0]",,,1.2380136604114338,0.3955209632106844,0.014026525623740023,-0.004656988983509368,1.5624074151641445
55,0.45,1.8,4,10,1.3,1.8,0.0,7.0,0.81,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.2475410190007508,0.732772827654956,0.001245677536948521,0.0003145480866512522,1.166509175300598
56,0.45,1.8,4,10,1.3,2.0,0.0,7.0,0.81,2.6,"[550, 650]","[0.0, 7.0]",,,1.2560218542915305,0.46714260788338813,0.00046497134067864654,-0.003434630080489597,1.1490211066077738
57,0.45,1.8,4,10,1.3,2.2,0.0,7.0,0.81,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.2945371868579605,0.5197029786488088,0.0003943562394090362,-0.003097796152203662,1.1937868462668524
59,0.45,1.8,4,10,1.5,2.0,0.0,7.0,0.81,3.0,"[550, 650]","[0.0, 7.0]",,,2.0292106484505545,0.5744982152825726,-0.00045832494496838433,-0.004112767287470886,1.01919025182724
61,0.45,1.8,4,10,1.7,1.8,0.0,7.0,0.81,3.06,"[550, 650]","[0.0, 7.0]",,,1.4527895235914752,0.7149369583606978,-0.000556011520540585,-0.007385656373710496,0.9666777551174164
62,0.45,1.8,4,10,1.7,2.0,0.0,7.0,0.81,3.4,"[550, 650]","[0.0, 7.0]",,,1.3175128495033601,0.6646236096988152,-0.0005831255411425963,-0.03427997128113625,1.0044822584499011
63,0.45,1.8,4,10,1.7,2.2,0.0,7.0,0.81,3.74,"[550, 650]","[0.0, 7.0]",,,1.3689540885745357,0.6876869471100864,-0.0005654492984911094,-0.006629114817932733,0.9402933120727539
64,0.45,2.0,4,10,1.3,1.8,0.0,7.0,0.9,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.2932846555871966,0.787416704773053,0.0004469636419735662,0.00037605645171506313,1.3115088939666748
65,0.45,2.0,4,10,1.3,2.0,0.0,7.0,0.9,2.6,"[550, 650]","[0.0, 7.0]",,,1.2378872062198902,0.5360746310237178,0.00886351481862691,0.0023326342209954018,1.4497286906609168
66,0.45,2.0,4,10,1.3,2.2,0.0,7.0,0.9,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.0157834144114277,0.5005856094308203,0.0020436106465645983,-0.009339063855687543,1.3164622354507447
